編號,機關代碼,縣市別代碼,行政區域代碼,鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,民國年月,移轉層次,總層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態,id,Response_Address,Response_X,Response_Y,lng,lat
3535,387000000A,66000,66000000,大雅區,房地(土地+建物)+車位,臺中市大雅區中山北路４３３號８樓之１,61.86,住,,,11002,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830412.0,27,233.64,3,2,2,有,有,16000,68.0,坡道機械,0.0,0,含管理費,5(揭露且明細顯示備註),2,臺中市大雅區文雅里16鄰中山北路433號,213948.891,2679706.438,120.64504876876954,24.22246297220101
3537,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區雅潭路四段５０６巷３８弄１１號,56.0,住,,,11007,全,4.0,透天厝,住家用,鋼筋混凝土造,830517.0,27,204.97,5,2,3,有,無,15000,73.0,,0.0,0,,2(資料揭露),4,臺中市大雅區二和里18鄰雅潭路四段506巷38弄11號,215239.135,2679600.333,120.65775460499091,24.221534014810572
3538,387000000A,66000,66000000,大雅區,建物,臺中市大雅區神林路一段２６８巷７之２２號,0.0,,特定農業區,甲種建築用地,11011,全,4.0,透天厝,住家用,鋼筋混凝土造,830516.0,27,201.23,6,1,2,有,有,16500,82.0,,0.0,0,社宅案件,5(揭露且明細顯示備註),5,臺中市大雅區員林里8鄰神林路一段268巷7之22號,215181.833,2681553.939,120.65714319647589,24.239172135148053
3541,387000000A,66000,66000000,大雅區,建物,臺中市大雅區雅環路一段１０６巷１０之１８號,0.0,住,,,11009,全,4.0,透天厝,人行道、住宅、停車空間,鋼筋混凝土造,1010423.0,9,193.52,3,2,3,有,無,16300,84.0,,0.0,0,住宅及都市更新中心110年社會住宅包租代管第三期計畫,5(揭露且明細顯示備註),8,臺中市大雅區四德里10鄰雅環路一段106巷10之18號,214773.72,2678997.99,120.65318705500803,24.216084999923318
3542,387000000A,66000,66000000,大雅區,建物,臺中市大雅區中清路三段８３９號,0.0,工,,,11007,見其他登記事項,3.0,廠辦,廠房　倉庫　員工宿舍　辦公室,鋼筋混凝土造,760819.0,34,2115.7,0,0,0,無,無,180000,85.0,一樓平面,0.0,0,"110年7月1日至110年11月31日,租金18萬。110年12月1日至115年6月30日,租金25萬。坪數包含一樓停車位5個及樓上停車位5個",5(揭露且明細顯示備註),9,臺中市大雅區四德里16鄰中清路三段839號,214323.578,2678865.526,120.64875862037681,24.214878806362762
3543,387000000A,66000,66000000,大雅區,建物,臺中市大雅區建興路１１２巷１７號１３樓之２,0.0,,,,11002,十三層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020808.0,8,179.82,3,2,2,有,無,16400,91.0,,0.0,0,社會住宅包租代管案件租金市價打9折。,5(揭露且明細顯示備註),10,臺中市大雅區三和里20鄰建興路112巷17號,216136.812,2678900.086,120.66660921044618,24.21523097480701
3544,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區民權街５３號,32.75,住,,,11004,見其他登記事項,14.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,821231.0,27,215.58,2,2,3,有,無,19800,92.0,,0.0,0,,2(資料揭露),11,臺中市大雅區大楓里2鄰民權街53號,216304.478,2680940.933,120.66821215808683,24.233661715231055
3545,387000000A,66000,66000000,大雅區,建物,臺中市大雅區神林路一段５２０巷６１之１６號,0.0,,特定農業區,甲種建築用地,11009,全,4.0,透天厝,住宅、停車空間,鋼筋混凝土造,881223.0,22,172.06,5,2,3,有,無,16000,93.0,,0.0,0,社宅案件,5(揭露且明細顯示備註),12,臺中市大雅區員林里2鄰神林路一段520巷61之16號,215956.75,2682076.762,120.66476138447588,24.24390977399225
3546,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區雅環路一段２５９巷１弄１１號,60.0,住,,,11001,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,960402.0,14,248.44,4,2,3,有,有,24000,97.0,,0.0,0,,2(資料揭露),13,臺中市大雅區二和里10鄰雅環路一段259巷1弄11號,214765.065,2679612.538,120.65308681721832,24.22163365407059
3547,387000000A,66000,66000000,大雅區,建物,臺中市大雅區大榮街１０６巷２１號,0.0,住,,,11010,見其他登記事項,5.0,公寓(5樓含以下無電梯),人行道　店舖　儲藏室,鋼筋混凝土造,811105.0,29,203.71,3,2,2,有,無,20000,98.0,,0.0,0,社宅案件,5(揭露且明細顯示備註),14,臺中市大雅區大雅里4鄰大榮街106巷21號,214695.695,2679981.808,120.65239477966655,24.224966289920207
